round,price_basis,group,measure,quantile_type,quantile_number,weighted_mean_wealth,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,1,-149.3092979,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,2,6325.011319,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,3,9851.375722,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,4,16139.74262,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,5,20649.91237,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,6,28777.33824,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,7,36295.17778,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,8,48955.47495,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,9,67453.53088,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,decile,10,206547.9887,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,1,3082.806548,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,2,12989.13054,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,3,24747.73864,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,4,42577.87704,
5,Real terms (March 2022 prices),Renter,Total wealth excl private pension,quintile,5,136754.1117,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,1,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,2,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,3,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,4,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,5,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,6,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,7,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,8,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,9,0,
5,Real terms (March 2022 prices),Renter,Property wealth,decile,10,53950.02248,
5,Real terms (March 2022 prices),Renter,Property wealth,quintile,1,0,
5,Real terms (March 2022 prices),Renter,Property wealth,quintile,2,0,
5,Real terms (March 2022 prices),Renter,Property wealth,quintile,3,0,
5,Real terms (March 2022 prices),Renter,Property wealth,quintile,4,0,
5,Real terms (March 2022 prices),Renter,Property wealth,quintile,5,27034.8774,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,1,1.168163817,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,2,60.93068758,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,3,207.5091847,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,4,428.7509981,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,5,885.241303,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,6,1781.751581,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,7,3579.452117,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,8,7868.83584,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,9,18354.74274,
5,Real terms (March 2022 prices),Renter,Financial wealth,decile,10,97405.89182,
5,Real terms (March 2022 prices),Renter,Financial wealth,quintile,1,31.56640626,
5,Real terms (March 2022 prices),Renter,Financial wealth,quintile,2,318.2865009,
5,Real terms (March 2022 prices),Renter,Financial wealth,quintile,3,1331.372168,
